trip_id,service_type,distance_km,duree_h,traction,type_train,nom_operateur,pays_origine,pays_destination,trajet_domestique,frequence_semaine
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1407:20261116,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,1
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1407:20261120,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,1
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1407:20261211,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,2
OCESN12125F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1529:20261212,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12125F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1529:20261010,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12126F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1235:20261206,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12126F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87686006:2:1250:20261011,Jour,394.3,2.02,,TGV inOui,SNCF,FR,FR,True,1
OCESN12126F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1235:20261101,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12127F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1741:20261125,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12127F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1741:20261209,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,4
OCESN12127F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1741:20261211,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12130F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87686006:2:2107:20261010,Jour,394.3,2.17,,TGV inOui,SNCF,FR,FR,True,1
